id IAM_ratio IAM_Wilc_Exc TPM70_ratio TPM70_Wilc_Exc TPM80_ratio TPM80_Wilc_Exc TPM90_ratio TPM90_Wilc_Exc SMM_ratio SMM_Wilc_Exc
antarctic_fur_seal 1 0 0.9523809523809523 0 0.9047619047619048 0 0.9047619047619048 2e-5 0.5714285714285714 0.44587
arctic_ringed_seal 0.8 0.06543 0.4 0.83887 0.3 0.94727 0.2 0.99658 0 1
atlantic_walrus_cl_2 0.9 0.00684 0.7 0.09668 0.7 0.27832 0.3 0.6875 0.2 0.99756
australian_fur_seal 0.8 0.10938 0.4 0.89063 0.2 0.95313 0.2 0.96875 0 1
baltic_ringed_seal 0.8235294117647058 0.00467 0.4117647058823529 0.69439 0.4117647058823529 0.78466 0.35294117647058826 0.93382 0.23529411764705882 0.99667
bearded_seal_cl_1 0.8461538461538461 8.5e-4 0.6153846153846154 0.34241 0.6153846153846154 0.52698 0.46153846153846156 0.81213 0.3076923076923077 0.97131
california_sea_lion 0.9230769230769231 1.2e-4 0.6923076923076923 0.09546 0.6153846153846154 0.31775 0.5384615384615384 0.68225 0.23076923076923078 0.99664
crabeater_seal 1 0.00391 0.7142857142857143 0.02734 0.7142857142857143 0.1875 0.5714285714285714 0.46875 0.14285714285714285 0.98828
galapagos_fur_seal 0.8333333333333334 0.00232 0.5 0.21191 0.5 0.3667 0.5 0.60449 0.4166666666666667 0.9353
galapagos_sea_lion 0.8181818181818182 2e-5 0.5454545454545454 0.53802 0.45454545454545453 0.85489 0.2727272727272727 0.99584 0.09090909090909091 1
grey_seal_orkneys 1 9.8e-4 0.8888888888888888 0.00293 0.8888888888888888 0.00977 0.7777777777777778 0.10156 0.4444444444444444 0.91797
guadalupe_fur_seal 1 2e-5 1 2e-5 0.9333333333333333 3e-5 0.9333333333333333 2.1e-4 0.6 0.13843
harbour_seal_waddensee_cl_1 0.8 0.01767 0.4 0.7193 0.3333333333333333 0.91559 0.2 0.98233 0.06666666666666667 0.9995
hawaiian_monk_seal 0.9444444444444444 2e-5 0.8333333333333334 0.00237 0.7222222222222222 0.00797 0.7222222222222222 0.05419 0.4444444444444444 0.51694
hooded_seal 0.8461538461538461 0.03406 0.38461538461538464 0.81213 0.3076923076923077 0.9364 0.3076923076923077 0.98669 0.07692307692307693 0.99988
lagoda_ringed_seal_cl_1 0.7058823529411765 0.10345 0.47058823529411764 0.71047 0.35294117647058826 0.87825 0.29411764705882354 0.90495 0.29411764705882354 0.99129
leopard_seal 0.7857142857142857 0.01227 0.35714285714285715 0.85211 0.35714285714285715 0.92346 0.2857142857142857 0.98987 0.14285714285714285 0.99985
mediterranean_monk_seal 0.625 0.01932 0.5625 0.18773 0.5625 0.28094 0.5625 0.39098 0.5625 0.56987
nes_cl_2 0.9142857142857143 0 0.8857142857142857 0 0.8857142857142857 0 0.8571428571428571 0 0.8285714285714286 1e-5
new_zealand_fur_seal 0.75 0.00171 0.6666666666666666 0.23486 0.6666666666666666 0.31104 0.5833333333333334 0.54517 0.4166666666666667 0.94507
new_zealand_sea_lion 1 0 0.7058823529411765 0.00467 0.7058823529411765 0.03984 0.47058823529411764 0.44498 0.35294117647058826 0.98023
northern_fur_seal_cl_1 0.875 0.09766 0.875 0.09766 0.625 0.27344 0.5 0.47266 0 1
ross_seal 0.7777777777777778 0.08203 0.3333333333333333 0.75195 0.3333333333333333 0.82031 0.2222222222222222 0.99023 0.1111111111111111 0.99902
saimaa_ringed_seal_cl_1 0.5882352941176471 0.11234 0.5882352941176471 0.39095 0.5294117647058824 0.46326 0.5294117647058824 0.5 0.5294117647058824 0.64405
ses_cl_4 0.9230769230769231 1.2e-4 0.8461538461538461 0.01331 0.8461538461538461 0.02393 0.7692307692307693 0.0636 0.46153846153846156 0.70605
south_american_fur_seal_cl_1 1 0.00391 1 0.00391 1 0.00391 0.5714285714285714 0.05469 0.2857142857142857 0.96094
south_american_sea_lion 0.9545454545454546 2e-5 0.7727272727272727 0.00162 0.6818181818181818 0.04587 0.45454545454545453 0.71697 0.18181818181818182 0.99985
stellers_sea_lion_cl_1 0.9230769230769231 6.1e-4 0.7692307692307693 0.04016 0.6153846153846154 0.12195 0.6153846153846154 0.44629 0.3076923076923077 0.98669
subantarctic_fur_seal_cl_2 0.8378378378378378 2e-5 0.6486486486486487 0.19296 0.5675675675675675 0.52377 0.3783783783783784 0.96258 0.16216216216216217 1
weddell_seal_cl_2 0.8666666666666667 0.00623 0.4 0.7894 0.3333333333333333 0.93973 0.3333333333333333 0.99246 0.06666666666666667 0.99998
